Week,DB,DL,K,LB,LS,OL,P,QB,RB,TE,WR
1.0,0.5703125,0.37109375,0.01171875,0.39453125,0.00390625,0.4765625,,0.078125,0.2578125,0.15234375,0.29296875
2.0,0.6171875,0.453125,0.015625,0.46484375,,0.51171875,0.00390625,0.08203125,0.234375,0.1875,0.33203125
3.0,0.6875,0.53125,0.01953125,0.51171875,,0.60546875,0.0078125,0.09765625,0.3046875,0.2421875,0.32421875
4.0,0.69921875,0.5234375,0.01953125,0.4453125,,0.52734375,0.01171875,0.08984375,0.26953125,0.23046875,0.35546875
5.0,0.67578125,0.46875,0.0078125,0.3984375,,0.453125,0.0078125,0.0859375,0.25390625,0.2265625,0.3984375
6.0,0.66015625,0.47265625,0.01953125,0.515625,0.00390625,0.453125,0.0078125,0.08984375,0.28515625,0.140625,0.37890625
7.0,0.66015625,0.45703125,0.01953125,0.48046875,,0.46875,0.00390625,0.078125,0.26953125,0.17578125,0.37109375
8.0,0.63671875,0.37890625,0.015625,0.4296875,,0.47265625,,0.0703125,0.23046875,0.16015625,0.3671875
9.0,0.58203125,0.328125,0.01953125,0.44921875,,0.43359375,,0.08984375,0.2109375,0.12890625,0.30078125
10.0,0.53515625,0.375,0.01953125,0.40234375,0.00390625,0.45703125,,0.06640625,0.171875,0.1328125,0.2734375
11.0,0.5078125,0.37109375,0.01953125,0.33984375,0.0078125,0.37890625,,0.06640625,0.1796875,0.17578125,0.3203125
12.0,0.55859375,0.33984375,0.015625,0.35546875,0.0078125,0.44921875,0.00390625,0.08203125,0.19140625,0.171875,0.359375
13.0,0.59765625,0.3671875,0.01953125,0.41015625,0.0078125,0.421875,,0.0859375,0.20703125,0.19921875,0.3515625
14.0,0.59375,0.3828125,0.02734375,0.40234375,0.00390625,0.47265625,,0.0625,0.203125,0.1796875,0.37109375
15.0,0.5859375,0.3515625,0.015625,0.37109375,0.00390625,0.47265625,0.00390625,0.08203125,0.25390625,0.16015625,0.31640625
16.0,0.48828125,0.35546875,0.015625,0.34765625,,0.44921875,0.00390625,0.07421875,0.2265625,0.15625,0.31640625
17.0,0.6328125,0.375,0.015625,0.38671875,0.00390625,0.51171875,,0.09375,0.25,0.171875,0.41796875
